Stages,NDVI,EVI,MCARI,SAVI,CCCI,SIPI,observed_LAI,Crop_stage
Tillering,0.438439043,0.264129205,0.354322236,0.280896596,0.046947606,0.3087078,2.05,W_14_12_2019_00001
,0.348361532,0.201906873,0.256358361,0.222057694,0.049728029,0.231209755,2.15,W_14_12_2019_00002
,0.385093886,0.234584424,0.296479086,0.255885252,0.046136829,0.266208257,2.05,W_14_12_2019_00003
,0.530749177,0.376290096,0.456917699,0.387610174,0.03651565,0.407393616,2,W_14_12_2019_00004
,0.663710182,0.539269171,0.60643303,0.516324546,0.028185292,0.543688092,1.95,W_14_12_2019_00005
Jointing,0.743524345,0.648658802,0.697809751,0.592768074,0.025898657,0.630359224,4.4,w_05_01_20_00001
,0.833648894,0.785982777,0.802488987,0.67923076,0.024452205,0.732029883,4.25,w_05_01_20_00002
,0.887797281,0.864970015,0.866178895,0.726469511,0.022943341,0.797174486,4.35,w_05_01_20_00003
,0.921193684,0.910485786,0.90573081,0.749743172,0.021423831,0.834986827,4.5,w_05_01_20_00004
,0.888488451,0.810213099,0.866988476,0.692926237,0.02280105,0.797106287,4.15,w_05_01_20_00005
Booting,0.905236242,0.805825489,0.88685571,0.6958139,0.023442343,0.824976309,4.25,w00001_18_01_20
,0.942782917,0.851681244,0.931506962,0.730814512,0.022174393,0.881253183,4.05,w00002_18_01_20
,0.961308897,0.86509986,0.953607999,0.737360848,0.023413829,0.903046474,3.85,w00003_18_01_20
,0.936205811,0.785440621,0.923675188,0.689300334,0.027347736,0.872869341,4.15,w00004_18_01_20
,0.923835956,0.752205873,0.908967641,0.667681468,0.032179684,0.856959529,4.05,w00005_18_01_20
Milking,0.911613641,0.729576955,0.894461553,0.652319174,0.034791206,0.840798921,3.99,W00001_03_02_20
,0.888784417,0.700397712,0.867425234,0.630574942,0.039519041,0.808723324,3.98,W00002_03_02_20
,0.880931973,0.700890046,0.858118671,0.627927534,0.039326114,0.794417707,3.95,W00003_03_02_20
,0.871664081,0.726486496,0.847106596,0.638282715,0.038338402,0.773638439,4.05,W00004_03_02_20
,0.865948246,0.741163111,0.84029891,0.642089301,0.036593468,0.759085762,4,W00005_03_02_20
Soft_Dough,0.872829023,0.761269155,0.848383907,0.652509575,0.035867675,0.764532598,3.65,W00003_13_02_20
,0.872538461,0.757048494,0.847964168,0.643808525,0.037380553,0.755869337,3.98,W00004_13_02_20
,0.840302518,0.700070529,0.809996086,0.606768037,0.036934783,0.715599744,3.7,W00005_13_02_20
,0.801528724,0.616576205,0.764708883,0.555839684,0.042092915,0.676333504,4,W00006_13_02_20
,0.76938638,0.54824103,0.727503561,0.513547601,0.046900711,0.649103599,4.05,W00007_13_02_20
Hard_Dough,0.718521414,0.441224441,0.669037367,0.436793989,0.056927256,0.602219663,2.65,W00002_28_02_20
,0.784909136,0.463549209,0.745553045,0.450305337,0.051184785,0.668971239,2.6,W00003_28_02_20
,0.709122172,0.387429109,0.65816791,0.390642752,0.056168294,0.588238835,2.45,W00004_28_02_20
,0.563826182,0.316319431,0.494122414,0.335749499,0.062899593,0.447860509,2.6,W00005_28_02_20
,0.429688217,0.246489273,0.346271777,0.274634857,0.069187994,0.322814783,2.5,W00006_28_02_20
Harvesting,0.329372576,0.196959748,0.237942523,0.228104878,0.071902966,0.235571278,2.3,W00001_18_03_20
,0.228856121,0.138565319,0.131617681,0.168995754,0.086439614,0.156767054,2.25,W00002_18_03_20
,0.207458643,0.126816143,0.109040083,0.155820896,0.087723754,0.139571485,2.15,W00003_18_03_20
